laser_power,time_elapsed
500.0,0.0
501.09998646673336,0.002
502.19989173546793,0.004
503.2996346162094,0.006
504.39913393497164,0.008
505.4983085417793,0.01
506.5970773186666,0.012
507.6953591876749,0.014
508.7930731188445,0.016
509.8901381382029,0.018000000000000002
510.9864733357462,0.02
512.081997873416,0.022
513.1766309930667,0.024
514.2702920244271,0.026000000000000002
515.3629003930515,0.028
516.4543756282623,0.03
517.5446373710816,0.032
518.6336053821524,0.034
519.7211995496463,0.036000000000000004
520.8073398971605,0.038
521.8919465916,0.04
522.9749399510451,0.042
524.0562404526053,0.044
525.1357687402558,0.046
526.2134456326582,0.048
527.2891921309636,0.05
528.3629294265968,0.052000000000000005
529.4345789090229,0.054
530.5040621734925,0.056
531.5713010287672,0.058
532.6362175048239,0.06
533.6987338605367,0.062
534.7587725913359,0.064
535.8162564368429,0.066
536.8711083884821,0.068
537.923251697066,0.07
538.9726098803557,0.07200000000000001
540.0191067305936,0.074
541.0626663220095,0.076
542.1032130182981,0.078
543.1406714800679,0.08
544.17496667226,0.082
545.2060238715368,0.084
546.2337686736391,0.08600000000000001
547.2581270007128,0.088
548.2790251086001,0.09
549.2963895941006,0.092
550.310147402196,0.094
551.3202258332411,0.096
552.3265525501192,0.098
553.3290555853604,0.1
554.3276633482244,0.10200000000000001
555.3223046317443,0.10400000000000001
556.3129086197331,0.106
557.2994048937502,0.108
558.281723440029,0.11
559.2597946563634,0.112
560.233549358954,0.114
561.2029187892109,0.116
562.1678346205159,0.11800000000000001
563.1282289649407,0.12
564.0840343799207,0.122
565.035183874885,0.124
565.9816109178408,0.126
566.9232494419136,0.128
567.8600338518373,0.13
568.7918990304013,0.132
569.7187803448463,0.134
570.6406136532154,0.136
571.5573353106519,0.138
572.4688821756507,0.14
573.3751916162586,0.14200000000000002
574.2762015162223,0.14400000000000002
575.1718502810867,0.146
576.06207684424,0.148
576.9468206729066,0.15
577.8260217740858,0.152
578.6996207004378,0.154
579.5675585561137,0.156
580.4297770025322,0.158
581.2862182640987,0.16
582.1368251338696,0.162
582.9815409791585,0.164
583.8203097470869,0.166
584.6530759700744,0.168
585.4797847712728,0.17
586.3003818699398,0.17200000000000001
587.1148135867529,0.17400000000000002
